id,rank,workers,company,state,state,city,metro,growth,revenue,industry,yrs_on_list
26043,60,61,PhotoBin,California,CA,San Diego,San Diego,5003.4376,6385268,Consumer Products & Services,1
25914,61,44,PMG Worldwide,Texas,TX,Fort Worth,Dallas,5000.4026,5764577,Advertising & Marketing,1
21105,62,19,Victor Securities,New Jersey,NJ,Englewood,New York City,4897.024,6494832,Financial Services,3
24951,63,89,eLan Technologies,Texas,TX,Irving,Dallas,4863.7089,9149555,IT Services,1
25166,64,41,Centennial Lending Group,Pennsylvania,PA,Maple Glen,Philadelphia,4845.0294,166889598,Financial Services,1
26157,65,143,Tough Mudder,New York,NY,Brooklyn,New York City,4737.5104,107900476,Health,1
21440,66,40,Netcom3 Global,California,CA,Laguna Niguel,Los Angeles,4724.7797,30058088,Software,3
26204,67,3,Gideon Services,Alabama,AL,Huntsville,Huntsville AL,4723.0413,23252268,Government Services,1
22983,68,34,Viderity,District of Columbia,DC,Washington,Washington DC,4722.8947,18327000,Government Services,2
25774,69,37,Affectiva,Massachusetts,MA,Waltham,Boston,4676.4588,5017670,Software,1
24877,70,40,AdHarmonics,Massachusetts,MA,Cambridge,Boston,4669.4024,45929345,Advertising & Marketing,1
23088,71,28,Acordis International,Florida,FL,Miramar,Miami,4638.7226,6000834,IT Services,2
26510,72,40,KRAVE Pure Foods,California,CA,Sonoma,Napa CA,4632.0582,16940863,Food & Beverage,1
25018,73,175,Main Street Hub,Texas,TX,Austin,Austin,4625.3168,9157664,Advertising & Marketing,1
26093,74,4,First Point Power,Rhode Island,RI,East Greenwich,Providence-New Bedford-Fall River RI-MA,4355.2259,23499000,Energy,1
26181,75,64,Ethology,Arizona,AZ,Scottsdale,Phoenix,4219.4187,8815804,Advertising & Marketing,1
22998,76,126,Regal Wings,New York,NY,Brooklyn,New York City,4146.4844,54355000,Travel & Hospitality,2
25843,77,23,Solect Energy Development,Massachusetts,MA,Hopkinton,Boston,4101.3374,12477972,Energy,1
25910,78,16,Old Pro Roofing,Texas,TX,Burleson,Dallas,4076.4206,4897229,Construction,1
25062,79,53,Clean Energy Experts,California,CA,Manhattan Beach,Los Angeles,4063.5937,6058237,Advertising & Marketing,1
25618,80,32,LogoUp.com,Florida,FL,Pompano Beach,Miami,4062.0098,8003961,Retail,1
25868,81,28,ANALYTICA,District of Columbia,DC,Washington,Washington DC,4056.1632,15010399,IT Services,1
22919,82,131,Phunware,Texas,TX,Austin,Austin,4040.0382,22119065,Software,2
25510,83,39,iCracked,California,CA,Redwood City,San Francisco,4033.2486,7315850,Consumer Products & Services,1
25545,84,13,BuyBackWorld,New York,NY,Long Island City,New York City,4011.2131,4139786,Consumer Products & Services,1
25518,85,49,Tahzoo,District of Columbia,DC,Washington,Washington DC,3946.3888,5693350,Advertising & Marketing,1
24946,86,1250,Connexion Point,Utah,UT,Salt Lake City,Salt Lake City,3943.8155,18286053,Health,1
25892,87,2,Meister Cook,Indiana,IN,Fort Wayne,Fort Wayne IN,3943.004,7707138,Business Products & Services,1
22933,88,150,TUNE,Washington,WA,Seattle,Seattle,3939.4786,18904275,Advertising & Marketing,2
25880,89,28,Constructure Management,Pennsylvania,PA,Malvern,Philadelphia,3929.4614,33167746,Construction,1
25212,90,14,Pendo Management Group,Missouri,MO,Lee's Summit,Kansas City MO-KS,3877.8706,8471671,Real Estate,1
25460,91,45,Gemini Consulting & Services,Missouri,MO,St. Louis,St. Louis MO-IL,3869.7686,6469651,IT Services,1
22952,92,764,Next Step Living,Massachusetts,MA,Boston,Boston,3859.6587,58009000,Energy,2
25047,93,26,FastPay,California,CA,Beverly Hills,Los Angeles,3824.8721,5061986,Financial Services,1
26166,94,6,Early Upgrade,Florida,FL,Jacksonville,Jacksonville FL,3745.689,18068816,Consumer Products & Services,1
25745,95,90,Yochana IT Solutions,Michigan,MI,Farmington Hills,Detroit,3694.0309,5637285,IT Services,1
25698,96,192,American Care Partners,Virginia,VA,Falls Church,Washington DC,3656.7915,6580396,Health,1
25126,97,10,Prepay Nation,Pennsylvania,PA,Berwyn,Philadelphia,3637.1336,110914763,Financial Services,1
25287,98,115,PEG Bandwidth,Texas,TX,The Colony,Dallas,3612.7746,32895443,Telecommunications,1
26456,99,108,Global Energy Efficiency,New York,NY,Bronx,New York City,3588.5841,12860765,Energy,1
26317,100,72,LaunchPoint,Illinois,IL,Itasca,Chicago,3544.2164,12899943,Health,1
24794,101,7,Equipatron,Wisconsin,WI,Mequon,Milwaukee-Waukesha-West Allis WI,3543.1,5284863,Retail,1
25791,102,12,GovSmart,Virginia,VA,Charlottesville,Charlottesville VA,3532.3775,25433653,Computer Hardware,1
26531,103,90,The Clymb,Oregon,OR,Portland,Portland OR,3531.5493,64460000,Retail,1
26329,104,380,Alliance Health,Utah,UT,Salt Lake City,Salt Lake City,3490.2076,85596581,Health,1
26379,105,100,Inkling,California,CA,San Francisco,San Francisco,3443.0435,8149000,Software,1
24947,106,80,Patriot Group International,Virginia,VA,Warrenton,Culpeper VA,3401.9117,24073472,Government Services,1
25461,107,65,Insureon,Illinois,IL,Chicago,Chicago,3357.8136,11844049,Insurance,1
23215,108,146,RevLocal,Ohio,OH,Granville,Columbus OH,3341.7125,7268587,Advertising & Marketing,2
26392,109,37,Apex Fuels,California,CA,Murrieta,Riverside-San Bernardino-Ontario CA,3323.5318,134567633,Energy,1
25606,110,200,Multicoreware,California,CA,Sunnyvale,San Jose,3322.105,7686082,Software,1
26420,111,87,MobileHelp,Florida,FL,Boca Raton,Miami,3304.8214,18661656,Health,1
26464,112,12,Ataraxis,Idaho,ID,Boise,Boise City-Nampa ID,3277.519,40765844,Human Resources,1
25241,113,15,Fortress Gold Group,California,CA,Sherman Oaks,Los Angeles,3257.9707,9809304,Financial Services,1
23197,114,73,AdColony,California,CA,Los Angeles,Los Angeles,3236.4728,52783000,Advertising & Marketing,2
26395,115,87,Integral Ad Science,New York,NY,New York,New York City,3231.6852,23442470,Advertising & Marketing,1
23076,116,18,Technomax,New Jersey,NJ,West Windsor,Trenton-Ewing NJ,3225.0636,4002379,IT Services,2
25855,117,458,hCentive,Virginia,VA,Reston,Washington DC,3214.4606,26493445,Health,1
22903,118,14,Intelligent Audit,New Jersey,NJ,Rochelle Park,,3122.0588,318842114,Logistics & Transportation,2
26332,119,60,SimpliSafe Home Security,Massachusetts,MA,Cambridge,Boston,3075.8406,38454825,Security,1
25436,120,43,Boxman Studios,North Carolina,NC,Charlotte,Charlotte,3074.0826,4322910,Business Products & Services,1
26277,121,30,SeatGeek,New York,NY,New York,New York City,3039.1304,12274000,Consumer Products & Services,1
24847,122,23,Smashwords,California,CA,Los Gatos,San Jose,3018.5723,22037828,Media,1
21756,123,18,Securityhunter,Maryland,MD,Baltimore,Baltimore,2998.3413,35931650,Government Services,3
21024,124,74,VRx,Utah,UT,Salt Lake City,Salt Lake City,2987.2957,89554237,Health,3
25425,125,42,SmackTom.com,Florida,FL,Miami,Miami,2963.7255,3125000,Retail,1
25034,126,10,Virtual Fleet Supervisor,Florida,FL,Oviedo,Orlando FL,2948.8362,3526101,Software,1
25283,127,262,CareCloud,Florida,FL,Miami,Miami,2939.6153,10455000,Health,1
24789,128,64,Fueled,New York,NY,New York,New York City,2916.7442,6486000,Advertising & Marketing,1
26484,129,14,Bob's Watches,California,CA,Westminster,Los Angeles,2861.191,11101120,Retail,1
24852,130,6,CPA Trend,New York,NY,Howard Beach,New York City,2842.941,5826876,Advertising & Marketing,1
25054,131,17,Jobs2Careers,Texas,TX,Austin,Austin,2829.7514,22359716,Human Resources,1
20998,132,200,29 Prime,California,CA,Irvine,Los Angeles,2790.9199,20289054,Advertising & Marketing,3
21178,133,180,Prolim,Michigan,MI,Farmington Hills,Detroit,2756.9034,5129970,IT Services,2
24677,134,867,Loyal Source Government Services,Florida,FL,Orlando,Orlando FL,2753.5176,55980536,Government Services,1
23162,135,24,Marketsmith,New Jersey,NJ,Parsippany,New York City,2752.5555,72908666,Advertising & Marketing,2
25279,136,18,Project Management Academy,Indiana,IN,West Lafayette,,2752.4901,8094996,Education,1
24932,137,25,Flying Cork Media,Pennsylvania,PA,Pittsburgh,Pittsburgh PA,2745.4166,7502709,Advertising & Marketing,1
24888,138,160,Motivity Labs,Texas,TX,Irving,Dallas,2716.0018,3225899,IT Services,1
26263,139,232,Twilio,California,CA,San Francisco,San Francisco,2710.8696,51720000,Telecommunications,1
25095,140,20,Signature Closers,Ohio,OH,Upper Arlington,Columbus OH,2709.3881,3843580,Real Estate,1
25749,141,81,PureCars,South Carolina,SC,Charleston,Charleston-North Charleston SC,2689.9672,8725985,Advertising & Marketing,1
25236,142,96,The Cambridge Institute of International Education,Massachusetts,MA,Waltham,Boston,2683.3172,9784000,Education,1
25237,143,53,Market6,Illinois,IL,Deerfield,Chicago,2677.1957,15085838,Software,1
25594,144,53,LiveRamp,California,CA,San Francisco,San Francisco,2665.2479,21040412,Advertising & Marketing,1
25620,145,160,MyClean,New York,NY,New York,New York City,2646.4033,4399793,Consumer Products & Services,1
26220,146,35,PresenceLearning,California,CA,San Francisco,San Francisco,2634.2593,5906000,Education,1
26517,147,140,Residential Capital Management,Georgia,GA,Atlanta,Atlanta,2626.018,30167124,Real Estate,1
25293,148,14,Total Technology Solutions Group,Illinois,IL,St. Charles,Chicago,2608.0908,3115496,Business Products & Services,1
25025,149,98,Buy PD,Utah,UT,American Fork,Provo-Orem UT,2606.3465,79837059,Real Estate,1
22898,150,120,Goal Zero,Utah,UT,Bluffdale,Salt Lake City,2598.7288,34249000,Consumer Products & Services,2
22864,151,89,Advocate Merchant Solutions,Indiana,IN,Fishers,Indianapolis IN,2573.062,4531348,Financial Services,2
20327,152,2200,Sky Zone Indoor Trampoline Park,California,CA,Los Angeles,Los Angeles,2571.0587,88183962,Consumer Products & Services,4
26205,153,11,Avenue Link,Kansas,KS,Overland PArk,Kansas City MO-KS,2564.509,6360103,Advertising & Marketing,1
25975,154,12,Incredible Supply & Logistics,Virginia,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News VA-NC,2550.7143,7422000,Government Services,1
26126,155,14,ReSell,Florida,FL,Maitland,Orlando FL,2545.6932,4728621,Business Products & Services,1
25004,156,29,Legion Logistics,Kentucky,KY,Florence,Cincinnati,2545.2064,15115027,Logistics & Transportation,1
25205,157,11,GrayPay,California,CA,Encino,Los Angeles,2539.989,2981762,Financial Services,1
26496,158,1,Urban Investment Group,District of Columbia,DC,Washington,Washington DC,2526.0778,4822398,Real Estate,1
25206,159,12,SPHERE Technology Solutions,New Jersey,NJ,Hoboken,New York City,2524.0876,3595000,Security,1
26135,160,64,Bai Brands,New Jersey,NJ,Hamilton,Trenton-Ewing NJ,2521.6684,17139891,Food & Beverage,1
26268,161,15,RocketDrop,New Hampshire,NH,Salem,Boston,2518.6981,72626345,Business Products & Services,1
21880,162,24,ECHO Health,Ohio,OH,Westlake,Cleveland,2509.1757,46984261,Health,3
25153,163,75,Marathon TS,Virginia,VA,Kilmarnock,,2507.7517,6821409,Government Services,1
23033,164,8,AudioMicro,California,CA,Sherman Oaks,Los Angeles,2495.6297,5426086,Media,2
25024,165,6,LED Supply,Colorado,CO,Lakewood,Denver,2474.0559,2877743,Business Products & Services,1
26487,166,6,LeGault Homes,Virginia,VA,Glen Allen,Richmond VA,2455.075,7660396,Real Estate,1
25384,167,9,Forte International Tax,Illinois,IL,Evanston,Chicago,2447.3722,3475711,Financial Services,1
25488,168,31,Paradigm Mechanical,California,CA,Lemon Grove,San Diego,2439.5443,5250000,Construction,1
22992,169,45,Finance Store,California,CA,Santa Ana,Los Angeles,2436.3022,4590707,Financial Services,2
25512,170,27,Pure Incubation,Massachusetts,MA,Topsfield,Boston,2427.7792,4696917,Advertising & Marketing,1
25313,171,10,Kohana Coffee,Texas,TX,Austin,Austin,2416.7762,2825786,Food & Beverage,1
26221,172,107,Ensighten,California,CA,Cupertino,San Jose,2415.8055,8277000,Advertising & Marketing,1
26167,173,123,Pathway Genomics,California,CA,San Diego,San Diego,2415.5285,14426053,Health,1
