Rank,Company,Growth,Industry,Revenue ($M),State,City,Metro,Times on List
365,Perimeter Security Partners,"1,248%",Security,15.34,Tennessee,Brentwood,Nashville,1
366,LYNC Logistics,"1,248%",Logistics & Transportation,28.03,Tennessee,Chattanooga,Chattanooga,1
367,Cox Residential,"1,241%",Construction,2.61,Indiana,Carmel,Indianapolis,1
368,Stealth-ISS Group,"1,241%",IT Management,2.60,Virginia,Arlington,"Washington,DC",2
369,Seeq Corporation,"1,240%",Software,3.10,Washington,Seattle,Seattle,1
370,M7 Services,"1,238%",IT Management,4.67,Texas,Houston,Houston,1
371,Healthy Human,"1,232%",Retail,2.69,South Carolina,Mt Pleasant,Charleston,1
372,Professional Hair Labs,"1,231%",Manufacturing,6.36,Florida,Zephyrhills,Tampa,1
373,Strategic Alliance Business Group,"1,229%",Government Services,21.67,Virginia,Arlington,"Washington,DC",2
374,Synup,"1,227%",IT Management,3.39,New York,New York,New York,1
375,First Stop Health,"1,226%",Health,3.98,Illinois,Chicago,Chicago,2
376,BoxyCharm,"1,226%",Consumer Products & Services,137.19,Florida,Pembroke Pines,Miami,2
377,WearMe Pro,"1,221%",Retail,3.81,Arizona,Tempe,Phoenix,1
378,Vidoori,"1,220%",IT Management,31.42,Maryland,Silver Spring,"Washington,DC",1
379,Stackify,"1,216%",Software,2.04,Kansas,Leawood,Kansas City,1
380,XY - The Persistent Company,"1,210%",Software,21.62,California,San Diego,San Diego,1
381,Dental Intelligence,"1,204%",Health,6.97,Utah,Pleasant Grove,Provo,1
382,PowerInbox,"1,203%",Software,30.78,New York,New York,New York,2
383,SimpleTire,"1,201%",Retail,255.93,Pennsylvania,Trevose,Philadelphia,2
384,Creative State Marketing,"1,198%",Advertising & Marketing,6.19,Florida,Miami,Miami,1
385,UrbanStems,"1,192%",Consumer Products & Services,12.82,Washington DC,Washington,"Washington,DC",1
386,GCubed Enterprises,"1,192%",IT Management,5.06,Virginia,Stafford,"Washington,DC",1
387,VideoAmp,"1,191%",Advertising & Marketing,19.51,California,Los Angeles,Los Angeles,1
388,SweetScience Marketing,"1,187%",Advertising & Marketing,2.46,Pennsylvania,King of Prussia,Philadelphia,1
389,Rented.com,"1,184%",Travel & Hospitality,4.82,Georgia,Atlanta,Atlanta,1
390,Lakarya,"1,180%",IT System Development,2.87,Virginia,Sterling,"Washington,DC",1
391,Cosset,"1,169%",Retail,4.58,Utah,South Salt Lake,Salt Lake City,1
392,Tomahawk Strategic Solutions,"1,168%",Security,2.82,Tennessee,Nashville,Nashville,1
393,Della Infotech,"1,166%",IT Management,4.75,New Jersey,Hamilton,"Trenton-Ewing,NJ",2
394,Realvolve,"1,164%",Software,2.01,Colorado,Greenwood Village,Denver,1
395,Edvenswa Tech,"1,157%",Software,2.93,California,San Jose,San Jose,1
