Rank,Company,Growth,Industry,Revenue ($M),State,City,Metro,Times on List
828,Xero Shoes,515%,Consumer Products & Services,8.79,Colorado,Broomfield,Denver,3
829,Bluecore,513%,Advertising & Marketing,24.32,New York,New York,New York,2
830,Valiant Residential,513%,Real Estate,4.18,Texas,Dallas,Dallas,1
831,Flavors15,512%,Manufacturing,4.49,Ohio,Miamisburg,"New Philadelphia-Dover,OH",1
832,Passport,511%,Software,21.70,North Carolina,Charlotte,Charlotte,2
833,Integrative Physiatry,510%,Health,5.09,California,Irvine,Los Angeles,1
834,IPfolio,510%,Software,4.75,California,Berkeley,San Francisco,2
835,Southern Designs,509%,Manufacturing,5.06,Louisiana,Vidalia,"Natchez-MS,LA",3
836,Sabio Mobile,508%,Advertising & Marketing,12.23,California,Santa Monica,Los Angeles,1
837,Tellenger,507%,IT System Development,9.33,Maryland,Rockville,"Washington,DC",1
838,Kodiak Cakes,506%,Food & Beverage,102.23,Utah,Park City,Salt Lake City,2
839,Davila Homes Construction,504%,Construction,9.54,Florida,Orlando,Orlando,6
840,Trellis,504%,IT System Development,3.08,Massachusetts,Medford,Boston,1
841,Sgt. Clean's Car Wash,503%,Retail,5.46,Ohio,Westlake,Cleveland,2
842,CoSchedule,502%,Software,5.83,North Dakota,Bismarck,"Bismarck,ND",2
843,Merit321-Launching Careers,502%,Business Products & Services,2.87,Maryland,Rockville,"Washington,DC",1
844,Freight Right Global Logistics,502%,Logistics & Transportation,11.11,California,La Crescenta,Los Angeles,3
845,HQSoftware,501%,Software,3.01,New York,New York,New York,2
846,Bond Collective,501%,Real Estate,11.57,New York,New York,New York,2
847,Boll & Branch,501%,Consumer Products & Services,72.84,New Jersey,Summit,-,1
848,ApplePie Capital,501%,Financial Services,4.94,California,SF,San Francisco,1
849,Carroll Organization,500%,Real Estate,69.73,Georgia,Atlanta,Atlanta,1
850,TESCHGlobal,499%,IT Management,7.01,Wisconsin,Grafton,Milwaukee,2
851,ZeroBounce,499%,Business Products & Services,3.46,Florida,Boca Raton,Santa Barbara,1
852,Hubstaff,498%,Software,4.08,Indiana,Fishers,Indianapolis,2
853,SEI-Chicago,498%,Business Products & Services,5.43,Illinois,Chicago,Chicago,2
854,Greenix Holdings,497%,Environmental Services,14.61,Utah,Orem,Provo,1
855,Flywheel,497%,IT Management,14.37,Nebraska,Omaha,Omaha,2
856,Clear Touch,496%,Business Products & Services,44.78,South Carolina,Greenville,Greenville,2
857,Critical Project Services,495%,Construction,20.05,Texas,Dallas,Dallas,1
858,Kaizen Media Group,495%,Advertising & Marketing,14.47,New York,New York,New York,1
859,Lyon Stahl Investment Real Estate,495%,Real Estate,6.46,California,El Segundo,Los Angeles,1
860,Wellbots,495%,Consumer Products & Services,2.93,New York,New York,New York,1
861,HomeWorks Energy,494%,Energy,59.89,Massachusetts,Medford,Boston,4
862,The Agency Texas,494%,Real Estate,5.64,Texas,Austin,Austin,1
863,Hireology,493%,Software,21.35,Illinois,Chicago,Chicago,4
864,Omaze,493%,Media,27.01,California,Los Angeles,Los Angeles,3
865,Billy Gene Is Marketing,491%,Advertising & Marketing,7.53,California,San Diego,San Diego,1
866,Baseballism,491%,Retail,13.03,Oregon,Portland,Portland,1
867,Changeis,490%,Government Services,14.04,Virginia,Rosslyn,"Washington,DC",4
868,F3 MFG,490%,Manufacturing,17.18,Maine,Waterville,"Augusta-Waterville,ME",2
869,Gimbal,489%,Advertising & Marketing,32.62,California,Los Angeles,Los Angeles,3
870,Universal Windows Direct,489%,Construction,105.63,Ohio,Bedford Hts,Cleveland,2
871,CFOL International,489%,Government Services,3.19,Georgia,Atlanta,Atlanta,2
872,VRC Metal Systems,488%,Manufacturing,11.23,South Dakota,Rapid City,"Rapid City,SD",3
873,Marketplace Ops,487%,Advertising & Marketing,13.15,California,Los Angeles,Los Angeles,1
874,Walk West,487%,Advertising & Marketing,5.23,North Carolina,Raleigh,Raleigh,2
875,Marketopia,486%,Advertising & Marketing,5.45,Florida,Clearwater,Tampa,2
876,B&B Beverage Management,486%,Food & Beverage,2.68,Alabama,Auburn,"Auburn-Opelika,AL",1
877,Zip Moving and Storage,485%,Logistics & Transportation,2.69,Maryland,Gaithersburg,"Washington,DC",1
878,Website Closers,485%,Business Products & Services,7.56,Florida,Tampa,Tampa,2
879,ConversionPoint Technologies,485%,Software,39.78,California,Newport Beach,Los Angeles,2
880,Parrish and Partners,485%,Engineering,12.12,South Carolina,Columbia,Columbia,2
881,OH Partners,484%,Advertising & Marketing,46.35,Arizona,Phoenix,Phoenix,7
882,Stratus Video,483%,Telecommunications,56.37,Florida,Clearwater,Tampa,7
883,Etegra,481%,Engineering,10.18,Missouri,Olivette,St. Louis,3
884,Harper & Scott,481%,Manufacturing,24.21,New York,New York,New York,2
885,Crossfire Sound Productions,479%,Consumer Products & Services,4.05,New York,Brooklyn,New York,1
886,FireDisc Cookers,478%,Consumer Products & Services,2.68,Texas,Houston,Houston,2
887,Softrams,478%,IT System Development,15.98,Virginia,Leesburg,"Washington,DC",1
888,MDsave,477%,Health,21.32,Tennessee,Brentwood,Nashville,2
889,Skynet Healthcare Technologies,477%,Health,4.71,Florida,Palm Harbor,Tampa,2
890,Peridot Solutions,477%,Government Services,26.58,Virginia,McLean,"Washington,DC",3
891,Dock Street Trading,476%,Consumer Products & Services,2.06,Indiana,Indianapolis,Indianapolis,1
892,Anchour,476%,Advertising & Marketing,2.55,Maine,Lewiston,"Lewiston-Auburn,ME",1
893,Hawke Media,475%,Advertising & Marketing,13.96,California,Los Angeles,Los Angeles,2
894,Blue Canyon Technologies,474%,Engineering,31.13,Colorado,Boulder,Boulder,3
895,Sojourn Solutions,474%,Advertising & Marketing,4.16,Texas,Fort Worth,Dallas,1
896,MzeroA.com,474%,Education,3.72,Florida,Ocala,"Ocala,FL",3
897,Fast Slow Motion,473%,IT System Development,3.54,Alabama,Birmingham,Birmingham,1
898,American Business Brokers,473%,Business Products & Services,15.73,Utah,Holladay,Salt Lake City,3
899,The Retail Outsource,473%,Retail,99.56,Florida,Coral Gables,Miami,5
900,ProcureIT Network,473%,Software,4.67,Missouri,Grain Valley,Kansas City,2
901,Orion Consulting Group,472%,Government Services,5.07,Maryland,Derwood,"Washington,DC",1
902,Proforma Springboard Promotions,471%,Business Products & Services,2.37,North Carolina,Durham,"Durham-Chapel Hill,NC",2
903,LMK Clinical Research Consulting,470%,Health,2.76,North Carolina,Huntersville,Charlotte,1
903,CentralReach,471%,Software,16.44,Florida,Pompano Beach,Miami,1
904,MessageWrap,470%,Advertising & Marketing,2.80,Michigan,Grand Rapids,"Grand Rapids-Kentwood,MI",1
905,The Pet Loss Center,470%,Consumer Products & Services,8.58,Texas,Irving,Dallas,1
906,Health Union,469%,Health,29.63,Pennsylvania,Philadelphia,Philadelphia,2
907,Kartago America,469%,Food & Beverage,4.60,New Jersey,kenilworth,New York,1
908,CardFlight,469%,Financial Services,7.06,New York,New York,New York,2
909,Clientserver Technology Solutions,467%,IT System Development,3.01,New Jersey,Iselin,New York,2
910,DLP Real Estate Capital,466%,Real Estate,80.88,Florida,St. Augustine,Allentown,7
911,Friendly Home Services,466%,Construction,9.02,Utah,Salt Lake City,Salt Lake City,1
912,Zoup! Specialty Products,466%,Consumer Products & Services,2.56,Michigan,Southfield,Detroit,1
913,Uber Technologies,465%,Consumer Products & Services,"11,270.00",California,San Francisco,San Francisco,1
914,engagedIN,465%,Health,2.20,California,Felton,"Santa Cruz-Watsonville,CA",2
915,RagingBull.com,465%,Education,33.61,New Hampshire,LEE,Boston,1
916,Holzer Resnick Contracting,464%,Construction,4.40,Pennsylvania,Pittsburgh,Pittsburgh,1
917,Wishlist Rewards,463%,Human Resources,2.71,Colorado,Denver,Denver,1
918,Edge Logistics,463%,Logistics & Transportation,46.58,Illinois,Chicago,Chicago,2
919,Visible Supply Chain Management,461%,Logistics & Transportation,357.78,Utah,Salt Lake City,Salt Lake City,2
920,Skynet Integrations,461%,Security,2.00,Florida,Tampa,Tampa,1
921,Luxe RV,460%,Travel & Hospitality,2.13,California,Los Angeles,Los Angeles,1
922,Burgess Civil,459%,Construction,14.18,Florida,Tampa,Tampa,1
923,Chad T. Wilson Law Firm,459%,Consumer Products & Services,5.23,Texas,Webster,Houston,2
924,FlexPrint Managed Print Solutions,458%,Business Products & Services,256.98,Arizona,MESA,Phoenix,10
925,Norada Real Estate Investments,459%,Real Estate,2.01,California,Laguna Niguel,Los Angeles,1
926,Excel Impact,458%,Insurance,31.59,Ohio,Medina,Cleveland,3
927,Kord Technologies,458%,Government Services,70.13,Alabama,Huntsville,Huntsville,3
928,Eva Garland Consulting,458%,Business Products & Services,2.62,North Carolina,Raleigh,Raleigh,2
929,Brivity,458%,Software,10.33,Washington,Bellingham,"Bellingham,WA",4
930,Natural Force,458%,Food & Beverage,4.01,Florida,Jacksonville,Jacksonville,2
931,Wright Energy Partners,457%,Energy,2.07,Michigan,Detroit,Detroit,1
932,Tech Talent South,457%,Education,2.75,North Carolina,Charlotte,Charlotte,2
933,FHE,456%,Manufacturing,125.51,Colorado,Fruita,"Grand Junction,CO",3
934,Beer Home Team,456%,Real Estate,5.05,California,San Diego,San Diego,3
935,Global Soft Systems,455%,IT System Development,2.09,Kansas,Overland Park,Kansas City,2
936,Ecomitize,455%,IT System Development,2.96,Nebraska,Omaha,Omaha,2
937,Chenal Family Therapy,455%,Health,4.25,Arkansas,Little Rock,Little Rock,2
938,Grand Canyon Gas Logs,453%,Manufacturing,2.74,Arizona,Phoenix,Phoenix,1
939,VOLO,453%,Consumer Products & Services,8.49,Maryland,Baltimore,Baltimore,2
940,Trupet,453%,Retail,15.83,Ohio,Milford,Cincinnati,2
941,Wafts Solutions,451%,IT System Development,3.60,New York,ALBANY,Albany,1
942,Freedom Real Estate,451%,Real Estate,3.66,Alabama,Huntsville,Huntsville,1
943,Volt Athletics,450%,Consumer Products & Services,2.85,Washington,Seattle,Seattle,2
944,Bluewater Media,449%,Advertising & Marketing,66.46,Florida,Clearwater,Tampa,3
945,RKB Handyman Services,449%,Retail,4.99,New York,Hauppauge,New York,1
946,E Contractors,449%,Construction,32.25,Texas,Sugar Land,Houston,1
947,RIVS,448%,Software,5.21,Illinois,Chicago,Chicago,2
948,Motus,448%,Software,84.07,Massachusetts,Boston,Boston,1
949,MJ Seats,448%,Consumer Products & Services,2.95,Virginia,Arlington,"Washington,DC",2
950,Inter-Op,448%,IT Management,5.06,Virginia,Virginia Beach,Virginia Beach,2
951,Elevate Staffing,446%,Advertising & Marketing,7.97,California,Glendale,Los Angeles,1
952,Coffee Meets Bagel,446%,Consumer Products & Services,15.76,California,San Francisco,San Francisco,2
953,Streamline Marketing,445%,Advertising & Marketing,2.41,Washington,Seattle,Seattle,2
954,GEN-Y Hitch,444%,Manufacturing,5.22,Indiana,Nappanee,"Elkhart-Goshen,IN",2
955,Reverb.com,444%,Retail,36.08,Illinois,Chicago,Chicago,3
956,Tipping Point Solutions,444%,Education,5.02,Colorado,Centennial,Denver,2
957,Need/Want,443%,Retail,3.85,Texas,Houston,St. Louis,2
958,Socialfly,443%,Advertising & Marketing,5.40,New York,New York,New York,2
959,Everyware,442%,Software,4.06,Texas,Austin,Austin,1
960,Trash Butler,442%,Environmental Services,3.75,Florida,Tampa,Tampa,2
961,Channel Partners Capital,441%,Financial Services,22.98,Minnesota,Minnetonka,Minneapolis,7
962,Savan Group,441%,Government Services,13.84,Virginia,McLean,"Washington,DC",4
963,Onit,441%,Software,16.71,Texas,Houston,Houston,4
964,Better.com,441%,Financial Services,20.66,New York,New York,New York,1
965,Skuid,440%,Software,20.92,Tennessee,Chattanooga,Chattanooga,2
966,Forcura,439%,Software,7.12,Florida,Jacksonville,Jacksonville,3
967,BarnAllen Technologies,439%,IT Management,63.17,Maryland,Rockville,"Washington,DC",4
968,DMB Financial,438%,Financial Services,26.38,Massachusetts,Beverly,Boston,3
969,Audantic,438%,Business Products & Services,2.49,Washington,Bothell,Seattle,1
970,Suite Management Franchising,438%,Real Estate,3.05,Louisiana,Metairie,New Orleans,1
971,The Hoth,437%,Advertising & Marketing,18.68,Florida,Florida,Tampa,3
972,360 Energy Solutions,437%,Energy,4.77,Florida,Miami,Miami,2
973,Decode Digital Marketing,437%,Advertising & Marketing,7.26,Texas,Houston,Houston,1
974,Apetan Consulting,437%,IT Management,10.00,New York,New York city,New York,2
975,Virtue Capital Management,436%,Financial Services,6.78,Tennessee,Brentwood,Nashville,1
976,Harts Servcies,434%,Construction,3.99,Washington,TACOMA,Seattle,1
977,Ridge Wallet,433%,Retail,19.58,California,Los Angeles,Los Angeles,1
978,American Print Consultants,433%,Business Products & Services,6.59,Pennsylvania,Chambersburg,"Chambersburg,PA",1
979,Alley,433%,Business Products & Services,6.77,New York,New York,New York,2
980,Votto Vines Importing,432%,Food & Beverage,39.62,Connecticut,Hamden,"New Haven-Milford,CT",6
981,Scott-Vicknair-Hair & Checki,431%,Consumer Products & Services,4.62,Louisiana,New Orleans,New Orleans,2
982,3D Solar,430%,Energy,6.76,Florida,Odessa,Tampa,2
983,Vessel FWP,429%,Retail,4.60,California,Carlsbad,San Diego,2
984,Advanced Computer Solutions Group,428%,IT Management,3.45,New Jersey,Mount Laurel,Philadelphia,2
985,Choozle,428%,Advertising & Marketing,17.42,Colorado,Denver,Denver,3
986,Ease Logistics,427%,Logistics & Transportation,53.48,Ohio,Dublin,Columbus,2
987,Crisp Marketing,427%,Advertising & Marketing,10.01,Tennessee,memphis,Memphis,5
988,Darn Good Yarn,427%,Retail,7.10,New York,Halfmoon,Albany,3
989,Beemac,427%,Logistics & Transportation,125.86,Pennsylvania,Ambridge,Pittsburgh,1
990,Preferred Home Services,427%,Construction,7.98,South Carolina,North Charleston,Charleston,1
991,Ciconix,427%,Government Services,4.58,Maryland,Annapolis,Baltimore,2
992,Atlanta Office Technologies,427%,Business Products & Services,6.31,Georgia,Norcross,Atlanta,1
993,Seek Business Capital,426%,Financial Services,8.81,California,Los Angeles,Los Angeles,1
994,Your Business Solutions,425%,IT Management,2.02,Texas,The Woodlands,Houston,1
995,Nomatic,425%,Consumer Products & Services,10.99,Utah,Sandy,Salt Lake City,1
996,Farmgirl Flowers,425%,Retail,23.37,California,San Francisco,San Francisco,2
997,Bombora,425%,Advertising & Marketing,26.36,New York,New York,New York,1
998,Household Trends,425%,Retail,5.57,New York,Jordan,"Syracuse,NY",1
999,SUMO Communications,424%,Telecommunications,5.07,Utah,Centerville,Ogden,2
1000,Home View Technologies,424%,Security,16.51,Utah,Orem,Provo,1
1001,CloudHesive,424%,IT Management,4.05,Florida,Fort Lauderdale,Miami,1
1002,Braviant Holdings,424%,Financial Services,67.32,Illinois,Chicago,Chicago,1
1003,ProSomnus Sleep Technologies,422%,Health,6.71,California,Pleasanton,San Francisco,1
1004,JP and Associates REALTORS,422%,Real Estate,8.89,Texas,Frisco,Dallas,3
1005,23rd Group,420%,Construction,21.90,North Carolina,Charlotte,Charlotte,2
1006,Penji,420%,Business Products & Services,2.56,New Jersey,Camden,Philadelphia,1
1007,FE International,419%,Business Products & Services,3.20,New York,New York,New York,1
1008,Tredence,419%,Business Products & Services,18.85,California,San Jose,San Jose,4
1009,APS Building Services,419%,Business Products & Services,21.50,Texas,Houston,Houston,1
1010,Courier Distribution Systems,419%,Logistics & Transportation,69.89,Georgia,Duluth,Atlanta,3
1011,Energy Toolbase,418%,Energy,2.02,Florida,Stuart,"Port St. Lucie,FL",1
1012,Pathfinder Consultants,417%,Government Services,2.88,Virginia,Sterling,"Washington,DC",1
1013,Mission Critical Facilities International,417%,IT Management,28.91,Texas,Spicewood,Austin,4
1014,Xavier Creative House,416%,Advertising & Marketing,3.07,Pennsylvania,Warwick,Philadelphia,1
1015,FastExpert,416%,Real Estate,4.39,California,San Marino,Los Angeles,2
1016,Beverly Hills Teddy Bear,415%,Consumer Products & Services,50.40,California,Newhall,Los Angeles,2
1017,MOD Pizza,415%,Food & Beverage,311.83,Washington,Bellevue,Seattle,6
1018,Chandlee and Sons Construction,414%,Construction,12.27,Georgia,Alpharetta,Atlanta,2
1019,Cherry Blow Dry Bar,413%,Consumer Products & Services,5.58,New Jersey,Cherry Hill,-,1
1019,Applied Development,413%,Government Services,2.25,Maryland,Baltimore,Baltimore,1
1020,Definitive Healthcare,413%,Software,58.91,Massachusetts,Framingham,Boston,3
1021,Reliance Partners,413%,Insurance,10.08,Tennessee,Chattanooga,Chattanooga,4
1022,Lief Labs,413%,Health,50.12,California,Valencia,Los Angeles,4
1023,Inseev Interactive,411%,Advertising & Marketing,3.85,California,San Diego,San Diego,2
1024,Leeward Business Advisors,410%,IT Management,3.60,Wisconsin,Kenosha,Chicago,1
1025,E. Bouchard Company,410%,Retail,3.73,Maine,Caribou,-,1
1026,Pensionmark Financial Group,410%,Financial Services,28.40,California,Santa Barbara,Santa Barbara,6
1027,ShalePro Energy Services,410%,Energy,44.26,Pennsylvania,Houston,Pittsburgh,2
1028,Senior Healthcare Direct,410%,Insurance,5.94,Florida,Palm Harbor,Tampa,1
1029,ZippyPaws,409%,Consumer Products & Services,15.58,California,Chino,Inland Empire,3
1030,Stay Alfred,409%,Travel & Hospitality,66.45,Washington,Spokane Valley,"Spokane,WA",4
1031,Dropps,409%,Consumer Products & Services,4.20,Pennsylvania,Philadelphia,Philadelphia,1
1032,Fresh Consulting,408%,Business Products & Services,32.53,Washington,Bellevue,Seattle,7
1033,NimbeLink,407%,Business Products & Services,11.68,Minnesota,Plymouth,Minneapolis,2
1034,Century Support Services,406%,Financial Services,49.48,Pennsylvania,N. Huntingdon,Pittsburgh,3
1035,FrontRunnerHC,406%,Software,4.22,Massachusetts,Plymouth,Boston,1
1036,United Carports,406%,Manufacturing,7.06,California,Riverside,Inland Empire,3
1037,Nexxt Gen,405%,Telecommunications,5.80,Texas,Irving Texas,Dallas,1
1038,Terradyne Engineering,405%,Engineering,6.52,Texas,Euless,Dallas,1
1039,Utah Global Transportation Management Solutions,405%,Logistics & Transportation,4.32,Utah,Bluffdale,Salt Lake City,1
1040,PM Consulting Group,404%,Business Products & Services,4.18,Maryland,Towson,Baltimore,1
1041,Greenhouse Software,403%,Software,38.03,New York,New York,New York,2
1042,Amazing Lash Studio,403%,Consumer Products & Services,11.63,Arizona,Scottsdale,Phoenix,2
1043,RevolutionParts,401%,Software,8.09,Arizona,Phoenix,Phoenix,3
1044,Metropolitan interactive,400%,Construction,14.96,Connecticut,Oxford,"New Haven-Milford,CT",2
1045,A1 Garage Door Service and Repair,400%,Consumer Products & Services,28.16,Arizona,Tempe,Phoenix,2
1046,Triumph Construction,400%,Construction,4.62,Louisiana,Baton Rouge,Baton Rouge,1
1047,Verde Solutions,399%,Energy,6.63,Illinois,Chicago,Chicago,3
1048,High Road Craft Ice Cream,399%,Food & Beverage,15.32,Georgia,Marietta,Atlanta,4
1049,World Services,399%,Government Services,3.85,Virginia,Alexandria,"Washington,DC",3
1050,Fire & Brilliance,399%,Retail,3.25,California,Santa Clara,San Jose,1
1051,Shockoe.com,399%,Business Products & Services,4.13,Virginia,Richmond,Richmond,3
1052,Zaniboni Lighting,398%,Manufacturing,6.75,Florida,Clearwater,Tampa,2
1053,Swenson He,398%,Software,4.67,California,Culver City,Los Angeles,1
1054,GreyCastle Security,398%,Security,9.24,New York,Troy,Albany,3
1055,Drive Social Media,397%,Advertising & Marketing,7.83,Missouri,St Louis,St. Louis,3
1056,Phoenix Logistics,397%,Manufacturing,33.46,Arizona,Mesa,Phoenix,2
1057,TrueIT,397%,IT Management,12.09,North Dakota,West Fargo,"Fargo-ND,MN",3
1058,Embark,396%,Financial Services,7.39,Texas,Dallas,Dallas,2
1059,Mynt Systems,396%,Environmental Services,7.94,California,Santa Cruz,"Santa Cruz-Watsonville,CA",1
1060,Breeze IT,395%,IT Management,13.58,California,Costa Mesa,Los Angeles,3
1061,Sustainable Comfort,395%,Construction,3.72,Massachusetts,Worcester,"Worcester,MA",1
1062,TGW Company,394%,Consumer Products & Services,3.62,Michigan,Ann Arbor,Ann Arbor,2
1063,Street Smart Transmission,394%,Manufacturing,7.46,Florida,Tampa,Tampa,3
1063,Johnson Roofing & Restoration,394%,Construction,5.37,Ohio,Toledo,"Toledo,OH",2
1064,Bestica,394%,IT Management,15.72,Texas,San Antonio,San Antonio,2
1065,Raymer Oil Company,394%,Retail,153.20,North Carolina,Statesville,"Statesville-Mooresville,NC",3
1066,TickPick,393%,Consumer Products & Services,117.63,New York,New York,New York,4
1067,The Kool Source,393%,Advertising & Marketing,5.01,Georgia,Atlanta,Atlanta,1
1068,Sunken Stone,393%,Advertising & Marketing,21.46,California,San Diego,San Diego,2
1069,Camrock Oil & Supply,392%,Energy,2.54,Oklahoma,Elk city,"Elk City,OK",1
1070,Spinutech,392%,Advertising & Marketing,15.40,Iowa,Cedar Falls,Waterloo,2
1071,Blueprint Consulting Services,392%,Government Services,12.15,Washington DC,Washington,"Washington,DC",1
1072,Sante Realty Investments,391%,Real Estate,14.48,Arizona,Chandler,Phoenix,4
1073,Prime Therapeutics,391%,Health,"21,366.98",Minnesota,Eagan,Minneapolis,8
1074,Engage3,390%,Software,5.64,California,DAVIS,Sacramento,3
1075,Mark Sanders - Alrossa,390%,Retail,8.99,New York,Brooklyn,New York,1
1076,Income Store,389%,Advertising & Marketing,50.74,Pennsylvania,Lancaster,Chicago,6
1077,Autonomous Media,388%,Media,2.23,New Jersey,Red Bank,New York,1
1078,AIIR Consulting,388%,Business Products & Services,3.87,Pennsylvania,Bala Cynwyd,Philadelphia,1
1079,CallRail,387%,Software,30.43,Georgia,Atlanta,Atlanta,4
1080,Pendant Automation,387%,Engineering,3.36,Maryland,Havre de Grace,"Washington,DC",2
1081,Channel Factory,387%,Advertising & Marketing,63.58,California,Beverly Hills,Los Angeles,5
1082,Axiom Path,387%,IT Management,2.14,North Carolina,Charlotte,Charlotte,1
1083,Agape Luxury Corp,387%,Logistics & Transportation,43.72,New York,Bronx,New York,1
1084,TK Trailer Parts,387%,Business Products & Services,4.68,Texas,Madisonville,-,2
1085,SaaSOptics,387%,Software,4.32,Georgia,Peachtree Corners,Atlanta,2
1086,Repsly,387%,Software,4.49,Massachusetts,Boston,Boston,1
1087,Newmedia,386%,Advertising & Marketing,9.88,Colorado,Denver,Denver,4
1088,Towel Tracker,386%,Business Products & Services,2.47,Michigan,Grand Rapids,"Grand Rapids-Kentwood,MI",1
1089,Fountainhead Commercial Capital,385%,Financial Services,4.53,Florida,Lake Mary,Orlando,1
1090,Keystone Perfusion Services-PC,385%,Health,3.19,Pennsylvania,Mountain Top,Scranton,1
1091,Credit Suite,385%,Business Products & Services,5.37,Florida,Land O' Lakes,Tampa,1
1092,Avanti Industries,385%,Manufacturing,43.85,Arizona,Glendale,Phoenix,2
1093,Beautique,384%,Retail,2.72,South Dakota,Brandon,"Sioux Falls,SD",1
1094,Zquared,384%,Retail,31.36,Missouri,Saint Peters,St. Louis,1
1095,Vibe Kayaks,383%,Consumer Products & Services,10.28,Georgia,Woodstock,Atlanta,2
1096,DataClover,382%,Software,3.31,Georgia,Atlanta,Atlanta,1
1097,Lone Cone,382%,Retail,14.36,Idaho,Boise,Boise City,4
1098,Fresh Prints,382%,Consumer Products & Services,6.30,New York,New York,New York,3
1099,Tek Leaders,381%,IT Management,23.95,Texas,Plano,Dallas,2
1100,Swig,381%,Consumer Products & Services,17.72,Virginia,richmond,Richmond,2
1101,LensDirect.com,381%,Health,6.86,New York,Garden City,New York,3
1102,Apex Air,381%,Construction,10.29,Washington,Vancouver,Portland,2
1103,Ignite Visibility,380%,Advertising & Marketing,9.42,California,San Diego,San Diego,3
1104,Snapsheet,379%,Insurance,37.32,Illinois,Chicago,Chicago,1
1105,Freeus,379%,Security,31.20,Utah,Ogden,Ogden,1
1106,DMA Holdings,379%,Manufacturing,60.18,North Carolina,Tabor CIty,-,3
1107,Resident360,378%,Real Estate,2.77,California,San Diego,San Diego,1
1108,Core Living,378%,Real Estate,3.32,Minnesota,Minneapolis,Minneapolis,1
1109,Encore Search Partners,377%,Human Resources,4.20,Texas,Houston,Houston,2
1110,EnableIT,377%,Security,21.90,New York,New York,New York,2
1111,Liquid Bottles,376%,Business Products & Services,7.28,Florida,Bradenton,Sarasota,1
1112,PoliteMail Software,376%,Software,5.85,New Hampshire,Greenland,Boston,2
1113,Grain & Barrel Spirits,376%,Food & Beverage,2.97,Florida,West Palm Beach,Miami,1
1114,United Energy Services,374%,Energy,16.57,Florida,Gainesville,"Gainesville,FL",2
1115,TaskUs,374%,Advertising & Marketing,254.21,California,Santa Monica,Los Angeles,7
1116,Ceros,373%,Software,14.61,New York,New York,New York,2
1117,Axle Logistics,372%,Logistics & Transportation,81.55,Tennessee,Knoxville,"Knoxville,TN",4
1118,Barratt Asset Management,372%,Real Estate,4.00,Indiana,Indianapolis,Indianapolis,2
1119,Zivelo,372%,Computer Hardware,46.67,Arizona,Scottsdale,Phoenix,5
1120,Trinity Air Medical,371%,Logistics & Transportation,8.46,Arizona,Tempe,Phoenix,3
1121,Nuvolo,371%,Software,12.15,New Jersey,Paramus,New York,2
1122,Foundry Outdoors,371%,Retail,2.24,New York,Brooklyn,New York,1
1123,Vpak,371%,Advertising & Marketing,4.12,New York,East Hampton,New York,2
1124,Buildout,371%,Software,7.56,Illinois,Chicago,Chicago,3
1125,MediaCrossing,371%,Advertising & Marketing,17.34,Connecticut,Stamford,Bridgeport,2
1126,Vinformatix,370%,Software,3.16,Louisiana,Baton Rouge,Baton Rouge,1
1127,Splash,370%,Advertising & Marketing,14.18,New York,New York,New York,1
1128,Connect Media,370%,Media,2.28,California,Los Angeles,Los Angeles,1
1129,Construction Cost Management,370%,Engineering,2.07,Texas,Fort Worth,Dallas,1
1130,Nextlink Internet,369%,Telecommunications,25.59,Texas,Hudson Oaks,Dallas,2
1131,College Hunks Hauling Junk and Moving (West Chester-Penn.),369%,Consumer Products & Services,2.66,Pennsylvania,West Chester,Philadelphia,2
1132,Verato,369%,Software,12.79,Virginia,McLean,"Washington,DC",1
1133,Spilt Ink SLC,368%,Manufacturing,3.82,Utah,Salt Lake City,Salt Lake City,1
1134,Southwest Site Services,368%,Construction,5.20,California,Riverside,Inland Empire,1
1135,Lever1,368%,Human Resources,116.60,Missouri,Kansas City,Kansas City,3
1136,Siege Media,367%,Advertising & Marketing,4.98,California,San Diego,San Diego,3
1137,Quiroga Law Office,367%,Government Services,2.19,Washington,Spokane Valley,"Spokane,WA",1
1138,Bluechip Retail,367%,Consumer Products & Services,3.66,North Carolina,Waxhaw,Charlotte,1
1139,Avtec Homes,367%,Construction,19.88,Florida,Palm Bay,Palm Bay,3
1140,BloomNation,366%,Software,61.30,California,Santa Monica,Los Angeles,1
1141,Western Peaks Logistics,366%,Logistics & Transportation,50.64,Utah,Salt Lake City,Salt Lake City,4
1142,360 Risk Partners Insurance Solutions,365%,Insurance,2.21,California,Sacramento,Sacramento,1
1143,Beauty Barrage,365%,Consumer Products & Services,5.97,California,Newport Beach,Los Angeles,1
1144,Visual Computer Solutions,364%,Software,11.08,New Jersey,FREEHOLD,New York,2
1145,Lexitas,363%,Business Products & Services,101.17,Texas,Houston,Houston,5
1146,Purchasing Platform,363%,Real Estate,4.19,Illinois,Chicago,Chicago,1
1147,Javelin Group,362%,Media,10.44,Virginia,Alexandria,"Washington,DC",1
1148,Big Idea Technology,361%,IT Management,4.67,New York,New York,New York,1
1149,Total Technology Results,361%,Computer Hardware,33.71,California,San Marcos,San Diego,2
1150,Clearview Business Intelligence,360%,Software,4.47,Utah,Roy,Ogden,2
1151,Index Analytics,360%,Government Services,9.84,Maryland,Baltimore,Baltimore,2
1152,Expedition Technology,360%,Engineering,8.60,Virginia,Dulles,"Washington,DC",2
