Category: All categories,,,,,
,,,,,
DMA,Gym: (1/1/18 - 7/14/20),Diet: (1/1/18 - 7/14/20),Bicycle: (1/1/18 - 7/14/20),Yoga: (1/1/18 - 7/14/20),Walking: (1/1/18 - 7/14/20)
Augusta GA,25%,36%,5%,12%,22%
Albuquerque-Santa Fe NM,19%,34%,5%,23%,19%
Marquette MI,13%,37%,7%,20%,23%
Richmond-Petersburg VA,27%,32%,4%,17%,20%
Kansas City MO,18%,36%,6%,19%,21%
Albany GA,17%,42%,5%,11%,25%
Minot-Bismarck-Dickinson(Williston) ND,15%,41%,4%,17%,23%
Greenwood-Greenville MS,12%,45%,4%,13%,26%
Ft. Wayne IN,13%,40%,6%,16%,25%
San Antonio TX,33%,31%,4%,13%,19%
Albany-Schenectady-Troy NY,17%,33%,5%,24%,21%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,17%,35%,5%,20%,23%
Toledo OH,12%,40%,6%,17%,25%
New Orleans LA,16%,37%,6%,17%,24%
Syracuse NY,22%,33%,5%,19%,21%
Lincoln & Hastings-Kearney NE,15%,40%,6%,16%,23%
Norfolk-Portsmouth-Newport News VA,21%,35%,5%,17%,22%
Victoria TX,21%,40%,4%,10%,25%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,16%,35%,6%,21%,22%
Wilkes Barre-Scranton PA,16%,37%,5%,18%,24%
Cleveland-Akron (Canton) OH,15%,36%,5%,22%,22%
Peoria-Bloomington IL,22%,35%,6%,15%,22%
Harrisburg-Lancaster-Lebanon-York PA,19%,35%,6%,17%,23%
Colorado Springs-Pueblo CO,22%,32%,6%,20%,20%
Greenville-New Bern-Washington NC,25%,35%,5%,13%,22%
Sacramento-Stockton-Modesto CA,18%,35%,7%,20%,20%
Charleston SC,19%,32%,5%,23%,21%
Salt Lake City UT,19%,34%,6%,22%,19%
Sioux Falls(Mitchell) SD,13%,42%,5%,18%,22%
Indianapolis IN,15%,37%,7%,18%,23%
Fargo-Valley City ND,13%,40%,4%,19%,24%
Grand Rapids-Kalamazoo-Battle Creek MI,14%,37%,6%,21%,22%
Reno NV,19%,33%,7%,23%,18%
Omaha NE,20%,36%,5%,18%,21%
Florence-Myrtle Beach SC,17%,39%,6%,14%,24%
Columbia SC,19%,38%,4%,15%,24%
Santa Barbara-Santa Maria-San Luis Obispo CA,21%,28%,7%,28%,16%
Waco-Temple-Bryan TX,29%,34%,4%,13%,20%
Wichita-Hutchinson KS,13%,40%,9%,15%,23%
Lubbock TX,17%,42%,4%,13%,24%
St. Louis MO,19%,35%,5%,18%,23%
South Bend-Elkhart IN,16%,39%,6%,15%,24%
Charlotte NC,17%,36%,4%,21%,22%
Seattle-Tacoma WA,18%,31%,7%,25%,19%
Honolulu HI,25%,29%,4%,25%,17%
Lansing MI,15%,35%,6%,22%,22%
Rochester NY,19%,33%,4%,23%,21%
Orlando-Daytona Beach-Melbourne FL,19%,36%,7%,17%,21%
Binghamton NY,19%,34%,4%,21%,22%
Rockford IL,13%,40%,8%,15%,24%
Gainesville FL,20%,35%,6%,19%,20%
Providence RI-New Bedford MA,18%,31%,5%,25%,21%
Hartford & New Haven CT,19%,32%,5%,24%,20%
Greensboro-High Point-Winston Salem NC,20%,36%,4%,16%,24%
Columbus GA,22%,36%,4%,13%,25%
Denver CO,16%,29%,7%,31%,17%
Odessa-Midland TX,24%,39%,5%,12%,20%
Green Bay-Appleton WI,11%,38%,6%,21%,24%
Cincinnati OH,15%,36%,5%,19%,25%
Charlottesville VA,19%,29%,4%,29%,19%
Atlanta GA,18%,36%,5%,18%,23%
Des Moines-Ames IA,19%,35%,6%,18%,22%
Raleigh-Durham (Fayetteville) NC,21%,33%,5%,20%,21%
Philadelphia PA,21%,32%,4%,22%,21%
La Crosse-Eau Claire WI,14%,36%,6%,22%,22%
Milwaukee WI,15%,36%,6%,21%,22%
Dallas-Ft. Worth TX,19%,37%,5%,19%,20%
Fresno-Visalia CA,21%,37%,6%,15%,21%
Austin TX,26%,27%,6%,24%,17%
Baltimore MD,21%,33%,4%,21%,21%
Minneapolis-St. Paul MN,15%,35%,5%,24%,21%
San Diego CA,21%,29%,6%,26%,18%
Columbus OH,15%,35%,6%,21%,23%
Houston TX,22%,36%,5%,17%,20%
Detroit MI,18%,34%,5%,22%,21%
Sioux City IA,13%,41%,5%,17%,24%
