Category: All categories

DMA,airline: (1/1/18 - 7/15/20),vacation: (1/1/18 - 7/15/20),car rental: (1/1/18 - 7/15/20)
Rochester MN-Mason City IA-Austin MN,23%,40%,37%
Tulsa OK,17%,45%,38%
Joplin MO-Pittsburg KS,19%,50%,31%
Victoria TX,35%,41%,24%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,20%,46%,34%
Ft. Smith-Fayetteville-Springdale-Rogers AR,18%,48%,34%
Raleigh-Durham (Fayetteville) NC,17%,42%,41%
Sacramento-Stockton-Modesto CA,22%,37%,41%
Yakima-Pasco-Richland-Kennewick WA,20%,46%,34%
Missoula MT,22%,37%,41%
Casper-Riverton WY,21%,45%,34%
Duluth MN-Superior WI,18%,47%,35%
"Billings, MT",23%,40%,37%
Boise ID,21%,41%,38%
Minot-Bismarck-Dickinson(Williston) ND,21%,44%,35%
Santa Barbara-Santa Maria-San Luis Obispo CA,20%,39%,41%
Watertown NY,17%,47%,36%
San Antonio TX,18%,40%,42%
Austin TX,20%,38%,42%
Presque Isle ME,20%,49%,31%
Grand Junction-Montrose CO,21%,39%,40%
El Paso TX,17%,35%,48%
Eureka CA,17%,44%,39%
North Platte NE,21%,43%,36%
Marquette MI,18%,44%,38%
Alpena MI,17%,49%,34%
Lafayette IN,26%,41%,33%
Chico-Redding CA,18%,41%,41%
Mankato MN,20%,47%,33%
Sioux Falls(Mitchell) SD,22%,48%,30%
Abilene-Sweetwater TX,18%,48%,34%
Ottumwa IA-Kirksville MO,20%,52%,28%
Idaho Falls-Pocatello ID,18%,38%,44%
Rapid City SD,22%,43%,35%
Wichita Falls TX & Lawton OK,20%,43%,37%
Spokane WA,22%,41%,37%
Monterey-Salinas CA,24%,35%,41%
Great Falls MT,25%,43%,32%
Charlottesville VA,19%,42%,39%
Helena MT,22%,40%,38%
Oklahoma City OK,19%,41%,40%
Lincoln & Hastings-Kearney NE,21%,46%,33%
Eugene OR,21%,43%,36%
Topeka KS,21%,44%,35%
Twin Falls ID,21%,39%,40%
Cheyenne WY-Scottsbluff NE,21%,40%,39%
Wichita-Hutchinson KS,21%,42%,37%
Waco-Temple-Bryan TX,20%,41%,39%
Yuma AZ-El Centro CA,17%,37%,46%
Amarillo TX,17%,45%,38%
Fargo-Valley City ND,23%,42%,35%
Lubbock TX,16%,46%,38%
Fresno-Visalia CA,19%,38%,43%
Bakersfield CA,20%,38%,42%
San Angelo TX,20%,42%,38%
Laredo TX,17%,47%,36%
Harlingen-Weslaco-Brownsville-McAllen TX,17%,43%,40%
Glendive MT,,,
