Category: All categories,,,,
,,,,
DMA,Taxi: (1/1/18 - 7/14/20),Uber: (1/1/18 - 7/14/20),Lyft: (1/1/18 - 7/14/20),Curb: (1/1/18 - 7/14/20)
Rochester MN-Mason City IA-Austin MN,43%,36%,11%,10%
Columbus GA,31%,47%,15%,7%
Rockford IL,40%,44%,11%,5%
Topeka KS,29%,49%,13%,9%
Green Bay-Appleton WI,31%,51%,8%,10%
Little Rock-Pine Bluff AR,26%,55%,12%,7%
Birmingham AL,23%,56%,12%,9%
Sioux City IA,51%,32%,9%,8%
Presque Isle ME,62%,38%,,
Lafayette LA,31%,46%,16%,7%
Ft. Wayne IN,26%,51%,12%,11%
Burlington VT-Plattsburgh NY,43%,40%,8%,9%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,31%,50%,10%,9%
Lexington KY,29%,47%,17%,7%
Harrisonburg VA,28%,51%,10%,11%
Springfield MO,35%,49%,8%,8%
Roanoke-Lynchburg VA,26%,52%,13%,9%
Wichita Falls TX & Lawton OK,40%,40%,13%,7%
Marquette MI,50%,25%,13%,12%
Helena MT,32%,43%,8%,17%
Bowling Green KY,30%,51%,12%,7%
Lincoln & Hastings-Kearney NE,24%,54%,13%,9%
Youngstown OH,31%,47%,12%,10%
Mankato MN,36%,45%,8%,11%
Laredo TX,36%,48%,9%,7%
Traverse City-Cadillac MI,49%,33%,9%,9%
Corpus Christi TX,35%,44%,15%,6%
Davenport IA-Rock Island-Moline IL,31%,49%,12%,8%
St. Joseph MO,33%,56%,4%,7%
Cheyenne WY-Scottsbluff NE,33%,48%,9%,10%
Monroe LA-El Dorado AR,45%,39%,10%,6%
San Angelo TX,26%,50%,14%,10%
Joplin MO-Pittsburg KS,48%,37%,5%,10%
Rapid City SD,39%,22%,28%,11%
Idaho Falls-Pocatello ID,42%,41%,7%,10%
Lake Charles LA,36%,28%,31%,5%
Amarillo TX,37%,49%,7%,7%
Shreveport LA,41%,38%,15%,6%
Parkersburg WV,46%,35%,8%,11%
Evansville IN,36%,45%,10%,9%
Flint-Saginaw-Bay City MI,35%,45%,10%,10%
Twin Falls ID,40%,44%,7%,9%
Beaumont-Port Arthur TX,34%,49%,11%,6%
Great Falls MT,44%,39%,6%,11%
Abilene-Sweetwater TX,44%,44%,6%,6%
La Crosse-Eau Claire WI,35%,41%,15%,9%
Montgomery (Selma) AL,30%,48%,11%,11%
Hattiesburg-Laurel MS,25%,55%,10%,10%
Huntsville-Decatur (Florence) AL,31%,49%,10%,10%
Tyler-Longview(Lufkin & Nacogdoches) TX,32%,48%,10%,10%
Harlingen-Weslaco-Brownsville-McAllen TX,39%,39%,16%,6%
Quincy IL-Hannibal MO-Keokuk IA,44%,30%,17%,9%
Jackson MS,30%,51%,10%,9%
Terre Haute IN,32%,49%,6%,13%
Casper-Riverton WY,38%,44%,8%,10%
Jonesboro AR,41%,43%,8%,8%
Wheeling WV-Steubenville OH,39%,42%,8%,11%
Albany GA,31%,47%,14%,8%
Wausau-Rhinelander WI,44%,36%,9%,11%
Sherman TX-Ada OK,39%,42%,10%,9%
Columbus-Tupelo-West Point MS,32%,48%,12%,8%
Charleston-Huntington WV,38%,42%,11%,9%
Dothan AL,36%,45%,9%,10%
Sioux Falls(Mitchell) SD,33%,25%,32%,10%
Bluefield-Beckley-Oak Hill WV,37%,47%,3%,13%
Tri-Cities TN-VA,40%,41%,8%,11%
Jackson TN,36%,44%,11%,9%
Clarksburg-Weston WV,44%,39%,6%,11%
Ottumwa IA-Kirksville MO,36%,44%,11%,9%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,41%,39%,8%,12%
Lima OH,28%,34%,26%,12%
Meridian MS,42%,51%,,7%
North Platte NE,41%,59%,,
Alpena MI,72%,28%,,
Zanesville OH,24%,43%,13%,20%
Greenwood-Greenville MS,42%,47%,,11%
Glendive MT,,,,
